,,,,SIDE 1,,,,,,,,,,,SIDE 1,,,,,,,,,,,Wire,,,,,COGS
SKU,IPN,Pin Count,Pack Size,Family 1,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Family 2,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Spec,Cost per Foot,Length,Qty (feet),Ext Cost,Material
MPA-UF3-6p-F-M-12in-2pk,boiling-shoe-snow,6,2,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,12in,13.2,$1.32,$3.75
MPA-UF3-8p-F-M-6in-2pk,bouncy-shop-soak,8,2,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,6in,8.8,$0.88,$3.84
MPA-UF3-8p-F-M-12in-2pk,broken-sky-speak,8,2,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,12in,17.6,$1.76,$4.72
MPA-UF3-2p-M-M-6in-2pk,charming-snake-spill,2,2,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,6in,2.2,$0.22,$1.51
MPA-UF3-2p-M-M-12in-2pk,clumsy-snow-spin,2,2,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,12in,4.4,$0.44,$1.73
MPA-UF3-4p-M-M-6in-2pk,cozy-sock-spit,4,2,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,6in,4.4,$0.44,$2.30
MPA-UF3-4p-M-M-12in-2pk,crooked-spoon-splash,4,2,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,12in,8.8,$0.88,$2.74
MPA-UF3-6p-M-M-6in-2pk,curly-star-sprint,6,2,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,6in,6.6,$0.66,$3.09
MPA-UF3-6p-M-M-12in-2pk,damaged-stone-squeeze,6,2,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,12in,13.2,$1.32,$3.75
MPA-UF3-8p-M-M-6in-2pk,damp-store-stand,8,2,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,6in,8.8,$0.88,$3.84
